"x" "z"
"1" 8.2769054579967 1
"2" 3.6687594789159 0
"3" 7.2826027125562 1
"4" 8.74211669872921 1
"5" 5.14218434241493 0
"6" 2.26943597457102 0
"7" 3.99812272909112 0
"8" 4.0978986569 0
"9" 5.06604611673097 0
"10" 4.06288088293233 0
"11" 5.13467991115326 0
"12" 5.88325010369208 1
"13" 8.69486970640394 1
"14" 2.59330855914012 0
"15" 7.87285782937602 1
"16" 4.07357141748018 0
"17" 7.22625959528211 1
"18" 7.88644161016428 1
"19" 3.56256459328485 0
"20" 9.31393349510263 1
"21" 3.99529987676782 0
"22" 3.90316334367214 0
"23" 7.53273687448075 1
"24" 3.23738175100819 0
"25" 4.50490934129729 0
"26" 4.00784580876612 0
"27" 5.33145749942101 0
"28" 3.45868379222219 0
"29" 5.41013140564433 0
"30" 4.80910609701128 0
"31" 3.46068950513098 0
"32" 8.00187906048705 1
"33" 3.86890566402728 0
"34" 5.62283823383648 0
"35" 5.28146805377659 0
"36" 3.47956919338069 0
"37" 8.890275426602 1
"38" 4.18781241459831 0
"39" 4.20487489060002 0
"40" 4.90806679711912 0
"41" 4.96080163363589 0
"42" 8.19367149234523 1
"43" 6.15749716320033 1
"44" 3.4004957892181 0
"45" 4.01467925242078 0
"46" 2.94543008327658 0
"47" 8.02151486532448 1
"48" 5.950515595303 0
"49" 3.91095622952027 0
"50" 4.22622857584325 0
"51" 4.13863498447207 0
"52" 8.08055309635727 1
"53" 3.42120564754456 0
"54" 8.06653252989751 1
"55" 6.44489927497568 1
"56" 8.30888792802743 1
"57" 4.12427634198276 0
"58" 2.75337297288682 0
"59" 8.26392544255148 1
"60" 2.05936095357908 0
"61" 7.237750823547 1
"62" 5.64729517899022 0
"63" 8.38823720687666 1
"64" 8.45274355502234 1
"65" 6.9189298090364 1
"66" 4.56124926100662 0
"67" 2.72507236063935 0
"68" 3.12658177853276 0
"69" 3.43786584514786 0
"70" 7.25804904051429 1
"71" 3.29390798903271 0
"72" 3.51961046100382 0
"73" 3.54243411735954 0
"74" 1.98856143018851 0
"75" 4.40578870570394 0
"76" 3.80446706887697 0
"77" 5.14171067429267 0
"78" 7.6155707483296 1
"79" 2.38927005810255 0
"80" 3.79363972362481 0
"81" 5.76499522004127 0
"82" 3.33055065279595 0
"83" 3.03617933020805 0
"84" 7.93376102928228 1
"85" 5.90819839393566 0
"86" 2.52411269430979 0
"87" 4.49585857447931 0
"88" 3.19441750258434 0
"89" 4.91990564797332 0
"90" 4.63746259962102 0
"91" 2.54507533904118 0
"92" 4.08163748545426 0
"93" 7.2701372977226 1
"94" 3.55530523667026 0
"95" 4.60372329866907 0
"96" 8.97109595679053 1
"97" 2.48811642309269 0
"98" 3.10576320046361 0
"99" 4.16323672742956 0
"100" 8.63859441235885 1
